DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-29,DEMAND GEN,DEMAND GEN,MEIO,1088730,37943,3189.3317500000003,14078,1,0,6,0.034850697601792914,0.3710302295548586,0.22654721906520814,0.00042619690296917176,7.103281716152862e-05,3189.3317500000003,0.0,,0.08405586669477902
2025-01-29,TIKTOK,TIKTOK,TOPO,2194822,4643,8541.97,1387,0,0,0,0.002115433506680724,0.2987292698686194,6.158594087959624,0.0,0.0,,,,3.891873691807353e-06
2025-01-29,VALIDAÇÃO,VALIDAÇÃO,MEIO,0,0,0.0,17,0,0,0,,,0.0,0.0,0.0,,,,
2025-01-29,META,META,MEIO,6751402,130441,59988.03000199999,75749,0,0,6,0.01932057963664436,0.5807146526015593,0.7919316426883523,7.92089664550027e-05,0.0,,,,0.45988630876794867
2025-01-29,PMAX,PMAX,FUNDO,7397675,316140,237290.306778,139242,664,7,3107,0.04273504851186352,0.4404441070411843,1.704157558624553,0.022313669726088392,0.004768676117838009,357.36491984638553,0.010542168674698794,33898.615254,62.9250349451074
2025-01-29,SEARCH,CURSOS,FUNDO,397965,24347,133580.27071700006,20060,466,56,2227,0.061178746874725166,0.823920811598965,6.659036426570292,0.11101694915254237,0.023230309072781653,286.65294145278983,0.12017167381974249,2385.361977089287,49.60277412439661
2025-01-29,SEARCH,GENERICA,FUNDO,171232,11800,47606.051935999996,11298,223,30,1254,0.0689123528312465,0.957457627118644,4.21367073251903,0.11099309612320765,0.019738006726854312,213.48005352466367,0.13452914798206278,1586.8683978666666,32.231585603249826
2025-01-29,TIKTOK,TIKTOK,MEIO,590768,4179,1766.8299999999992,1211,0,0,1,0.00707384286217263,0.2897822445561139,1.4589843104872,0.0008257638315441783,0.0,,,,0.42278774826513504
2025-01-29,SEARCH,DV360,TOPO,12923342,12978,59437.205182,778,3,1,12,0.0010042294013421606,0.05994760363692402,76.39743596658097,0.015424164524421594,0.0038560411311053984,19812.401727333334,0.3333333333333333,59437.205182,4.599213205221992e-06
2025-01-29,SEARCH,MICROSOFT,FUNDO,292131,6680,25786.32,6313,140,8,928,0.022866453748489547,0.9450598802395209,4.084638048471408,0.14699825756375734,0.022176461270394424,184.188,0.05714285714285714,3223.29,24.144494382022472
2025-01-29,SEARCH,MICROSOFT,MEIO,186745,1369,256.15000000000003,424,0,0,0,0.007330852231652789,0.30971512052593136,0.6041273584905661,0.0,0.0,,,,0.1871073776479182
2025-01-29,DEMAND GEN,DEMAND GEN,FUNDO,384943,5082,7410.59548,752,6,1,50,0.013201954575092935,0.1479732388823298,9.854515265957447,0.06648936170212766,0.007978723404255319,1235.0992466666667,0.16666666666666666,7410.59548,132.33206214285715
2025-01-29,TIKTOK,TIKTOK,FUNDO,1479478,5097,10464.960000000001,3963,4,0,32,0.0034451340270014153,0.7775161859917599,2.640666161998486,0.008074690890739339,0.0010093363613424174,2616.2400000000002,0.0,,290.6933333333334
2025-01-29,META,META,TOPO,3087015,8058,16312.670000999999,2317,0,0,1,0.0026102885797445103,0.2875403325887317,7.040427277082434,0.00043159257660768235,0.0,,,,5.284285952935116e-06
2025-01-29,SEARCH,SEARCH,FUNDO,6976,283,1200.19699,241,3,0,27,0.04056766055045872,0.8515901060070671,4.980070497925311,0.11203319502074689,0.012448132780082987,400.0656633333333,0.0,,40.00656633333333
2025-01-29,SEARCH,SEARCH,MEIO,79207,5360,9761.761663,3235,11,1,82,0.06767078667289507,0.6035447761194029,3.0175461091190106,0.02534775888717156,0.0034003091190108192,887.4328784545454,0.09090909090909091,9761.761663,1.8212241908582087
2025-01-29,SEARCH,DV360,MEIO,9382789,413667,35565.758105999994,5916,0,0,0,0.044087850638013924,0.014301358338953796,6.0117914310344815,0.0,0.0,,,,0.08597678351427596
2025-01-28,PMAX,PMAX,FUNDO,7601462,257799,459366.47558499995,144372,1162,7,5212,0.03391439699363096,0.5600176881989457,3.181825254100518,0.03610118305488599,0.008048652093203669,395.32398931583475,0.006024096385542169,65623.78222642856,72.06879127470975
